Rank,Team,Name,Nr,Pos,Spiele,Assists
175,BSV Al-Dersimspor,Amir Awag,5,IV,13,0
176,SV Stern Britz 1889,Okan Özkaya,3,NA,5,0
177,SV Empor Berlin II,Maurice Meyer,1,TW,7,0
178,Berliner SV 1892,Maximilian Blust,NA,NA,1,0
179,BFC Meteor 06,Jamal Dähn,NA,NA,1,0
180,Türkiyemspor Berlin,Volkan Neziroglu,NA,NA,1,0
181,Berliner SC II,Victor Kausch,NA,IV,3,0
182,Berliner SV 1892,Steven Koschek,NA,ZM,11,0
183,TSV Rudow Berlin,Nemanja Samardzic,NA,NA,1,0
184,BSV Al-Dersimspor,Vittorio Achour,NA,NA,2,0
185,Türkiyemspor Berlin,Jan Lange,NA,IV,4,0
186,SV Empor Berlin II,Tjerk Ortmann,4,IV,3,0
187,Berliner SV 1892,Julius Zauner,11,ST,15,0
188,BFC Preussen II,Oliver Schill,NA,IV,1,0
189,BSV Al-Dersimspor,Sam Diokhane,4,ZDM,12,0
190,SV Empor Berlin II,Dennis Seiler,11,IV,10,0
191,Berliner SV 1892,Göktug Özsoy,19,ZM,12,0
192,BSV Al-Dersimspor,Mohamad-Ali Chawraba,47,ST,11,0
193,Türkiyemspor Berlin,Paulo Eduardo Bernardes De Almeida,22,NA,5,0
194,VfB Concordia Britz 1916,Julian Markgraf,NA,LV,1,0
195,TSV Rudow Berlin,Jan-Eric Frank,6,IV,9,0
196,SC Borsigwalde 1910,Michel Stefaniszin,8,ZDM,15,0
197,SV Stern Britz 1889,Julian Karsten Heikenfeld,NA,NA,1,0
198,SC Borsigwalde 1910,Kevin Kummer,29,IV,11,0
199,Berliner SV 1892,Lennard Schleifenbaum,21,ST,15,0
200,Türkiyemspor Berlin,Amon Simunovic,6,ZDM,12,0
201,FC Internationale Berlin 1980,Niklas Schindler,11,IV,13,0
202,BFC Preussen II,Dominik Dietzel,1,TW,3,0
203,Türkiyemspor Berlin,Davut Kösker,32,TW,4,0
204,BFC Meteor 06,Oktay Ugur,17,ZOM,13,0
205,BSV Al-Dersimspor,Karim Zagmouz,6,IV,12,0
206,Köpenicker FC,Maximilian Zengler,25,ST,2,0
207,BSV Al-Dersimspor,Hakan Günaydin,NA,ZOM,1,0
208,Berliner SV 1892,David Bellin,28,RM,13,0
209,Köpenicker FC,Jose Antonio Ondo Mangue,21,NA,7,0
210,SV Stern Britz 1889,Patrick Kübler,21,NA,0,0
211,Köpenicker FC,Pascal Berger,NA,NA,0,0
212,SV Stern Britz 1889,Timo Ziebarth,1,TW,9,0
213,Türkiyemspor Berlin,Görkem Yilmaz,4,ZOM,14,0
214,FC Internationale Berlin 1980,Enrique Freitag,8,ZDM,13,0
215,BSV Al-Dersimspor,Etem Tonk,24,IV,14,0
216,Berliner SC II,Dominique Leitner,5,IV,15,0
217,Berliner SV 1892,Dennis Fischer,2,LM,5,0
218,Türkiyemspor Berlin,Dennis Fischer,2,LM,1,0
219,SV Empor Berlin II,Tom Wessel,24,IV,5,0
220,SV Stern Britz 1889,Kamil Ryszard Borowski,NA,IV,4,0
221,TSV Rudow Berlin,Linus Fürstenow,4,IV,16,0
222,FSV Berolina Stralau 1901,Philipp Nikolajewski,14,IV,15,0
223,Berliner SC II,Oguz Rencber,NA,LM,2,0
224,FSV Berolina Stralau 1901,Emilio Son,7,NA,3,0
225,SV Stern Britz 1889,Nico Hauf,13,IV,11,0
226,SV Empor Berlin II,Elias Thürigen,5,IV,12,0
227,FSV Berolina Stralau 1901,Viktor Kreisel,20,NA,1,0
228,SV Empor Berlin II,Simon Albrecht,NA,ZM,1,0
229,FC Internationale Berlin 1980,Albert Bauder,9,ST,10,0
230,SV Stern Britz 1889,Robin Koller,NA,TW,2,0
231,Türkiyemspor Berlin,Habib Jalloh,16,LM,7,0
232,VfB Concordia Britz 1916,Domenic Schäfer,NA,LV,1,0
233,TSV Rudow Berlin,Mohammed Hassane,17,ZDM,15,0
234,FSV Berolina Stralau 1901,Ian Häberle,22,IV,12,0
235,BSV Eintracht Mahlsdorf II,Niklas Isberner,4,IV,13,0
236,BSV Al-Dersimspor,Leorant Abduli,23,NA,1,0
237,Türkiyemspor Berlin,Ali Mert Koca,15,RM,6,0
238,SV Stern Britz 1889,Ali Mert Koca,15,RM,1,0
239,Türkiyemspor Berlin,Ertugrul Aktas,13,TW,12,0
240,TSV Rudow Berlin,Talha Sennur,24,ST,12,0
241,FC Internationale Berlin 1980,Milan Daus,10,ST,14,0
242,SC Borsigwalde 1910,Magnus Crone,14,RM,12,0
243,SC Borsigwalde 1910,Fabio Rondinelli,9,RM,11,0
244,Türkiyemspor Berlin,Mehmet Tunay,NA,NA,1,0
245,Berliner SV 1892,Tim Paschke,13,RM,6,0
246,Berliner SV 1892,Stefano Tedesco,22,IV,12,0
247,BSV Eintracht Mahlsdorf II,Marcus Grund,NA,NA,3,0
248,Berliner SC II,Danilo Arsic,11,ST,6,0
249,SV Empor Berlin II,Philipp Macketanz,15,LV,9,0
250,FC Viktoria 1889 Berlin II,Patrick Büch,NA,NA,0,0
251,FSV Berolina Stralau 1901,Akiyasu Tsuchiya,6,ZM,9,0
252,FC Internationale Berlin 1980,Akiyasu Tsuchiya,6,ZM,1,0
253,BSV Eintracht Mahlsdorf II,Fabio Findeisen,NA,NA,0,0
254,SV Empor Berlin II,Demba Mendy,9,ST,11,0
255,Köpenicker FC,Adrian Thiemann,1,TW,12,0
256,BSV Al-Dersimspor,Can Yildiz,NA,NA,2,0
257,SC Borsigwalde 1910,Daniel Mpembele Nzongo,NA,NA,1,0
258,SC Borsigwalde 1910,David Mpembele Nzongo,25,NA,3,0
259,FSV Berolina Stralau 1901,Tobias Reuter,4,ZM,15,0
260,BSV Al-Dersimspor,Achmed El-Noumeiri,NA,NA,3,0
261,VfB Concordia Britz 1916,Darnell Bruns,11,ST,8,0
262,VfB Concordia Britz 1916,Leon Ketel,1,TW,7,0
263,VfB Concordia Britz 1916,Merlin Schulz,8,IV,1,0
264,Berliner SC II,Leon Ibrom,4,IV,14,0
265,SV Empor Berlin II,David Schäfer,NA,LV,1,0
266,Berliner SC II,Rene Lohmeier,NA,NA,0,0
267,SV Empor Berlin II,Sam Misgayski,22,NA,1,0
268,FSV Berolina Stralau 1901,Pablo Guillen,8,ST,9,0
269,SV Stern Britz 1889,Luca Wojan,22,ZDM,13,0
270,BSV Al-Dersimspor,Onur Kalkan,63,IV,9,0
271,Köpenicker FC,Tarek Borchmeier,13,ZM,14,0
272,Türkiyemspor Berlin,Abdoulaye Djibril Diallo,NA,ZM,5,0
273,BFC Meteor 06,Abdoulaye Djibril Diallo,NA,ZM,0,0
274,SV Empor Berlin II,Pascal Bräkow,2,RV,16,0
275,SV Empor Berlin II,Pjotr Xaver Strelets,NA,LV,3,0
276,FC Internationale Berlin 1980,Amin Malik Chahed,77,NA,6,0
277,Berliner SV 1892,Niklas Jost,4,IV,15,0
278,Berliner SV 1892,Mario Mikic,14,RV,2,0
279,Berliner SV 1892,Paul Busche,7,ZM,14,0
280,Berliner SV 1892,Firooz Ahmadi,NA,NA,1,0
281,FC Viktoria 1889 Berlin II,Oskar Schlembach,21,ZDM,5,0
282,Berliner SV 1892,Jonathan Maurer,NA,NA,1,0
283,SV Stern Britz 1889,Gianfranco Manzari,NA,NA,0,0
284,Berliner SV 1892,Joshua Tröger,24,RV,12,0
285,Türkiyemspor Berlin,Muzaffer Kirimoglu,9,ST,9,0
286,TSV Rudow Berlin,Samet Sennur,11,ST,11,0
287,FC Internationale Berlin 1980,Jasper Büll,NA,NA,1,0
288,VfB Concordia Britz 1916,Jordy Gase,25,ST,12,0
