Rank,Team,Name,Nr,Pos,Spiele,Assists
161,BFC Preussen II,Julian von Gliszczynski,NA,NA,2,0
162,BFC Preussen II,Hugo Timur,7,ST,15,0
163,VfB Concordia Britz 1916,Daniel Michael Brüning,22,IV,8,0
164,VfB Concordia Britz 1916,Fabian Kolditz,13,NA,1,0
165,VfB Concordia Britz 1916,Patrick Wenke,29,IV,15,0
166,Berliner SV 1892,El-Amin Elsaadawi,17,ST,19,0
167,BSV Al-Dersimspor,Caglar Halici,NA,ST,1,0
168,BSV Al-Dersimspor,Hüseyin Ali Kaloglu,NA,IV,1,0
169,BSV Al-Dersimspor,Önder Senkaya,NA,NA,1,0
170,SC Borsigwalde 1910,Marcel Knaack,NA,ST,10,0
171,TSV Rudow Berlin,Patrick Maykowski,20,RM,25,0
172,VfB Concordia Britz 1916,Tim Wenke,5,IV,14,0
173,SV Stern Britz 1889,Philipp Kemkes,NA,NA,3,0
174,Berliner SC II,Lukas Strehlke,NA,NA,1,0
175,Berliner SC II,Nelson Antoniofrancisco,7,LM,8,0
176,Berliner SC II,Max Vincent Bolz,20,ZM,8,0
177,BFC Meteor 06,Yusuf Abouri,NA,RV,4,0
178,SC Borsigwalde 1910,Kenneth Weise,49,IV,16,0
179,SV Stern Britz 1889,Fabio Zielske,NA,NA,0,0
180,SV Stern Britz 1889,Marcel Lieker,NA,NA,1,0
181,VfB Concordia Britz 1916,Robin Eschert,14,LV,4,0
182,BFC Preussen II,Dan Feldmann,NA,ST,9,0
183,BSV Eintracht Mahlsdorf II,Lukas Grützner,8,IV,18,0
184,Berliner SV 1892,Benjamin Schnack,NA,IV,12,0
185,Berliner SV 1892,Robin Wolff,25,ST,8,0
186,SV Stern Britz 1889,Dustin Sik,7,RM,13,0
187,Köpenicker FC,Kevin Wesolek,16,NA,2,0
188,SV Stern Britz 1889,Yusuf Yildirim,NA,ZDM,1,0
189,Köpenicker FC,Tom Nischwitz,5,IV,15,0
190,SC Borsigwalde 1910,Jeffrey Kräft,37,TW,11,0
191,BSV Al-Dersimspor,Onurcan Üremis,NA,NA,1,0
192,SV Stern Britz 1889,Bartosz Palubski,21,NA,0,0
193,Köpenicker FC,Philip Möhle,28,RV,16,0
194,BSV Al-Dersimspor,Aziz Ökten,NA,NA,0,0
195,VfB Concordia Britz 1916,Björn Röchert,30,IV,9,0
196,BSV Al-Dersimspor,Sercan-Günay Seyyidoglu,17,LM,9,0
197,BSV Al-Dersimspor,Welton Pereira Dos Santos,94,NA,19,0
198,SV Stern Britz 1889,Kerem Erman,NA,NA,1,0
199,Berliner SV 1892,Karl Anker,8,RV,23,0
200,BFC Meteor 06,Bahadir Katirci,7,NA,6,0
201,SV Empor Berlin II,Daniel Schneidawind,13,IV,3,0
202,Berliner SC II,Noah Peter,12,ZM,13,0
203,SC Borsigwalde 1910,Antonio Ciao,22,ZDM,3,0
204,VfB Concordia Britz 1916,Yannic Behrendt,NA,IV,8,0
205,BSV Al-Dersimspor,Mustafa Arslan,1,TW,6,0
206,FC Internationale Berlin 1980,Antonio Boeddinghaus,6,LV,15,0
207,SV Stern Britz 1889,Marc Anthony Weisse,NA,ZM,1,0
208,Berliner SV 1892,Nikita Charkov,20,IV,20,0
209,SC Borsigwalde 1910,Riccardo Ciao,18,ZDM,22,0
210,SV Stern Britz 1889,Suphi Tekin,NA,NA,3,0
211,BSV Eintracht Mahlsdorf II,Ian Kroh,NA,IV,2,0
212,VfB Concordia Britz 1916,Lionel Krampah,NA,ZM,11,0
213,BFC Preussen II,Romario Hartwig,NA,ST,2,0
214,Berliner SC II,Jakob Heilmann,2,LV,19,0
215,BSV Al-Dersimspor,Amir Awag,5,RV,24,0
216,SV Stern Britz 1889,Okan Özkaya,3,NA,7,0
217,SV Empor Berlin II,Maurice Meyer,1,TW,11,0
218,SV Stern Britz 1889,Mike Otto,NA,IV,1,0
219,Berliner SV 1892,Maximilian Blust,NA,ST,7,0
220,BFC Meteor 06,Jamal Dähn,NA,NA,1,0
221,Türkiyemspor Berlin,Volkan Neziroglu,NA,ST,12,0
222,Berliner SC II,Victor Kausch,NA,IV,3,0
223,Berliner SV 1892,Nicht öffentlich,NA,NA,12,0
224,BSV Al-Dersimspor,Vittorio Achour,NA,NA,2,0
225,SV Empor Berlin II,Tom Stutzke,NA,IV,2,0
226,Türkiyemspor Berlin,Jan Lange,NA,IV,4,0
227,SV Empor Berlin II,Tjerk Ortmann,4,IV,4,0
228,Berliner SV 1892,Julius Zauner,11,ST,25,0
229,BFC Preussen II,Oliver Schill,NA,IV,1,0
230,BSV Al-Dersimspor,Sam Diokhane,4,IV,20,0
231,SV Empor Berlin II,Dennis Seiler,11,IV,14,0
232,Berliner SV 1892,Göktug Özsoy,19,ZM,19,0
233,BSV Al-Dersimspor,Mohamad-Ali Chawraba,47,ST,11,0
234,SV Empor Berlin II,Nikolai Wolany,NA,NA,1,0
235,Berliner SC II,Oktay Öztürk,NA,RV,1,0
236,Türkiyemspor Berlin,Paulo Eduardo Bernardes De Almeida,22,NA,5,0
237,VfB Concordia Britz 1916,Julian Markgraf,NA,LV,10,0
238,TSV Rudow Berlin,Jan-Eric Frank,6,IV,9,0
239,SV Empor Berlin II,Arnaud Salla,NA,IV,1,0
240,SC Borsigwalde 1910,Michel Stefaniszin,8,ZDM,25,0
241,SV Stern Britz 1889,Julian Karsten Heikenfeld,NA,ST,2,0
242,SC Borsigwalde 1910,Kevin Kummer,29,IV,21,0
243,Berliner SV 1892,Lennard Schleifenbaum,21,ST,26,0
244,Türkiyemspor Berlin,Amon Simunovic,6,ZDM,22,0
245,SV Stern Britz 1889,Steven Hieronymus,NA,NA,0,0
246,FC Internationale Berlin 1980,Niklas Schindler,11,IV,23,0
247,BFC Preussen II,Dominik Dietzel,1,TW,12,0
248,Türkiyemspor Berlin,Davut Kösker,32,TW,4,0
249,TSV Rudow Berlin,Maurice Büttner,NA,NA,1,0
250,BSV Al-Dersimspor,Karim Zagmouz,6,IV,12,0
251,Köpenicker FC,Maximilian Zengler,25,ST,2,0
252,BSV Al-Dersimspor,Hakan Günaydin,NA,LM,4,0
253,TSV Rudow Berlin,Sebastian Stang,NA,NA,3,0
254,Berliner SV 1892,David Bellin,28,ST,24,0
255,Köpenicker FC,Jose Antonio Ondo Mangue,21,NA,15,0
256,SV Stern Britz 1889,Patrick Kübler,21,NA,0,0
257,Köpenicker FC,Pascal Berger,NA,NA,0,0
258,SV Stern Britz 1889,Timo Ziebarth,1,TW,16,0
259,Türkiyemspor Berlin,Görkem Yilmaz,4,ZOM,23,0
260,FC Internationale Berlin 1980,Enrique Freitag,8,ZDM,20,0
261,BSV Al-Dersimspor,Etem Tonk,24,IV,23,0
262,Türkiyemspor Berlin,Dennis Fischer,2,LV,7,0
263,Berliner SV 1892,Dennis Fischer,2,LV,5,0
264,SV Empor Berlin II,Tom Wessel,24,IV,5,0
265,SV Stern Britz 1889,Kamil Ryszard Borowski,NA,IV,4,0
266,TSV Rudow Berlin,Linus Fürstenow,4,IV,24,0
267,FSV Berolina Stralau 1901,Philipp Nikolajewski,14,IV,15,0
268,Berliner SC II,Umran Saied,NA,LM,1,0
269,Berliner SC II,Oguz Rencber,NA,LM,2,0
270,FSV Berolina Stralau 1901,Emilio Son,7,NA,4,0
271,SV Stern Britz 1889,Nico Hauf,13,IV,17,0
272,SV Empor Berlin II,Elias Thürigen,5,IV,15,0
273,FSV Berolina Stralau 1901,Viktor Kreisel,20,NA,3,0
274,SV Empor Berlin II,Simon Albrecht,NA,ZM,2,0
275,FC Internationale Berlin 1980,Albert Bauder,9,ST,10,0
276,SV Stern Britz 1889,Robin Koller,NA,TW,2,0
277,Türkiyemspor Berlin,Habib Jalloh,16,LM,7,0
278,VfB Concordia Britz 1916,Domenic Schäfer,NA,LV,1,0
279,FSV Berolina Stralau 1901,Ian Häberle,22,IV,22,0
280,SV Empor Berlin II,Joris Möller,NA,LM,1,0
281,BSV Al-Dersimspor,Leorant Abduli,23,NA,1,0
282,Türkiyemspor Berlin,Ali Mert Koca,15,ZOM,6,0
283,Türkiyemspor Berlin,Ertugrul Aktas,13,TW,18,0
284,TSV Rudow Berlin,Talha Sennur,24,ST,21,0
285,FC Internationale Berlin 1980,Milan Daus,10,ST,22,0
286,SC Borsigwalde 1910,Magnus Crone,14,RM,21,0
287,SC Borsigwalde 1910,Fabio Rondinelli,9,RM,20,0
288,Türkiyemspor Berlin,Mehmet Tunay,NA,LM,12,0
289,FC Internationale Berlin 1980,Josè Francisco Cunto,NA,NA,2,0
290,Berliner SV 1892,Tim Paschke,13,ST,14,0
291,Berliner SV 1892,Stefano Tedesco,22,IV,22,0
292,BSV Eintracht Mahlsdorf II,Marcus Grund,NA,ZM,4,0
293,Berliner SC II,Danilo Arsic,11,ST,7,0
294,FC Viktoria 1889 Berlin II,Patrick Büch,NA,NA,0,0
295,FSV Berolina Stralau 1901,Akiyasu Tsuchiya,6,ZM,9,0
296,FC Internationale Berlin 1980,Akiyasu Tsuchiya,6,ZM,7,0
297,BSV Eintracht Mahlsdorf II,Fabio Findeisen,NA,ZM,4,0
298,SV Empor Berlin II,Demba Mendy,9,ST,17,0
299,Köpenicker FC,Adrian Thiemann,1,TW,20,0
300,BSV Al-Dersimspor,Can Yildiz,NA,NA,5,0
301,SC Borsigwalde 1910,Daniel Mpembele Nzongo,NA,ST,10,0
302,SC Borsigwalde 1910,David Mpembele Nzongo,25,ST,5,0
303,BSV Al-Dersimspor,Achmed El-Noumeiri,NA,NA,5,0
304,VfB Concordia Britz 1916,Darnell Bruns,11,ST,8,0
305,VfB Concordia Britz 1916,Leon Ketel,1,TW,14,0
306,VfB Concordia Britz 1916,Merlin Schulz,8,IV,1,0
307,Berliner SC II,Leon Ibrom,4,IV,23,0
308,SV Empor Berlin II,David Schäfer,NA,LV,2,0
309,Berliner SC II,Rene Lohmeier,NA,NA,0,0
310,SV Empor Berlin II,Sam Misgayski,22,NA,1,0
311,FSV Berolina Stralau 1901,Pablo Guillen,8,ZM,16,0
312,SV Stern Britz 1889,Luca Wojan,22,ZDM,17,0
313,BSV Al-Dersimspor,Onur Kalkan,63,IV,15,0
314,Köpenicker FC,Tarek Borchmeier,13,ZM,20,0
315,Türkiyemspor Berlin,Abdoulaye Djibril Diallo,NA,RV,5,0
316,SV Empor Berlin II,Pascal Bräkow,2,RV,26,0
317,SV Empor Berlin II,Malte Bohn,NA,NA,1,0
318,SV Empor Berlin II,Pjotr Xaver Strelets,NA,LV,3,0
319,FC Internationale Berlin 1980,Amin Malik Chahed,77,NA,8,0
320,Berliner SV 1892,Niklas Jost,4,IV,24,0
321,Berliner SV 1892,Mario Mikic,14,RV,3,0
322,Berliner SV 1892,Firooz Ahmadi,NA,NA,1,0
323,FC Viktoria 1889 Berlin II,Oskar Schlembach,21,ZDM,12,0
324,BSV Al-Dersimspor,Ibrahim Hassan,NA,IV,3,0
325,Berliner SV 1892,Jonathan Maurer,NA,ZM,12,0
326,BSV Al-Dersimspor,Baran Egilmez,NA,NA,1,0
327,SV Stern Britz 1889,Gianfranco Manzari,NA,NA,0,0
328,Berliner SV 1892,Joshua Tröger,24,RV,17,0
329,Türkiyemspor Berlin,Muzaffer Kirimoglu,9,ST,9,0
330,TSV Rudow Berlin,Samet Sennur,11,ST,12,0
331,FC Internationale Berlin 1980,Jasper Büll,NA,NA,1,0
332,VfB Concordia Britz 1916,Jordy Gase,25,ST,22,0
333,BSV Al-Dersimspor,Safak Höbek,NA,NA,1,0
334,FC Viktoria 1889 Berlin II,Jakob Klautzsch,NA,LV,3,0
335,SV Empor Berlin II,Tilman Schinzel,14,IV,17,0
336,FC Viktoria 1889 Berlin II,Simon Stefanovic,7,LV,23,0
337,Köpenicker FC,Rayk Stahnke,26,ZM,10,0
338,VfB Concordia Britz 1916,Deniz Gassen,10,ZM,8,0
339,BFC Meteor 06,Julius Böke,NA,NA,0,0
340,Berliner SC II,Jakob Oevermann,15,IV,4,0
341,FC Internationale Berlin 1980,Thomaz Klingl,10,ST,1,0
342,Berliner SV 1892,Soner Gültepe,26,NA,6,0
343,SV Empor Berlin II,Falk Marquard,NA,ZDM,4,0
344,SC Borsigwalde 1910,Cengiz Devecioglu,NA,NA,0,0
345,SV Empor Berlin II,Jonathan Stolp,7,RM,10,0
346,FSV Berolina Stralau 1901,Lucas Hufnagel,NA,NA,1,0
347,SV Empor Berlin II,Hong Phuc Dinh,17,LM,5,0
348,Türkiyemspor Berlin,Oguzhan Codura,10,ST,5,0
349,SC Borsigwalde 1910,Firat Yildirim,15,ZDM,14,0
350,SV Stern Britz 1889,Marcel Frobenius,37,RV,17,0
351,FC Internationale Berlin 1980,Stefan Nicola,NA,NA,0,0
352,Türkiyemspor Berlin,Florian Nikolai Thalhofer,17,RV,17,0
353,BFC Preussen II,Alexander Gajda,14,RV,13,0
354,Berliner SC II,Nikolaos Kaggelidids,3,LV,19,0
355,BFC Preussen II,Nils Szerwinski,21,ST,11,0
356,VfB Concordia Britz 1916,Malte Meißner,33,TW,11,0
357,SC Borsigwalde 1910,Khaled El-Okkla,27,IV,20,0
358,SV Stern Britz 1889,Tommes Diallo,2,RV,7,0
359,BFC Meteor 06,Marcos Terzopulos-Koutsoubas,5,RV,3,0
360,SV Stern Britz 1889,Dennis Pyplatz,24,ZDM,23,0
361,BFC Preussen II,Omar Hajjaj,NA,ZDM,2,0
362,SC Borsigwalde 1910,David Chukwu,NA,LV,13,0
363,FC Internationale Berlin 1980,Moreno Schneider,19,RM,17,0
364,FSV Berolina Stralau 1901,Leeroy-Life Leffke,13,NA,9,0
365,Türkiyemspor Berlin,Ferhat Ömür,68,TW,2,0
366,VfB Concordia Britz 1916,Nico Hasenbank,NA,ZM,2,0
367,VfB Concordia Britz 1916,Benedikt Schmidtmann,23,RV,23,0
368,VfB Concordia Britz 1916,Arne-Luca Auctun,19,IV,19,0
369,FC Viktoria 1889 Berlin II,Marvin Knape,20,RV,7,0
370,Köpenicker FC,Luca Carius,6,IV,22,0
371,Berliner SC II,Stephan Ngah,NA,RM,1,0
372,BFC Preussen II,Meiko Hesse,6,ZDM,18,0
373,FC Viktoria 1889 Berlin II,Johannes Schwarz,NA,ZM,6,0
374,FSV Berolina Stralau 1901,Alfredo-Manuel Villanueva Bravo,10,LM,3,0
375,BSV Eintracht Mahlsdorf II,Julian Bufe,NA,NA,0,0
376,Köpenicker FC,Tom Rostock,NA,RM,8,0
377,Berliner SC II,Mehdi Jebali,NA,IV,1,0
378,FC Viktoria 1889 Berlin II,Jeremy Herrmann,26,ZDM,21,0
379,FC Viktoria 1889 Berlin II,Lukas-Noah Littler,2,IV,15,0
380,FC Viktoria 1889 Berlin II,Mirko Wach,NA,NA,0,0
381,Berliner SC II,Bryan Lilja,18,LM,9,0
382,Türkiyemspor Berlin,Kenan Özen,6,ZDM,18,0
383,BFC Preussen II,Guilherme Henrique Lopes De Oliveira,NA,NA,0,0
384,FSV Berolina Stralau 1901,Milan Stricker,NA,ST,10,0
385,FSV Berolina Stralau 1901,Georg Schönfelder,3,IV,24,0
386,Köpenicker FC,Anton Neumann,14,ZM,12,0
387,VfB Concordia Britz 1916,Amir-Mohamad Yassine,26,LM,11,0
388,VfB Concordia Britz 1916,Aykut Tezel,NA,ST,3,0
389,BSV Al-Dersimspor,Zana-Kazim Baba,NA,ST,8,0
390,Türkiyemspor Berlin,Tolgahan Can Eskin,21,LM,5,0
391,BSV Eintracht Mahlsdorf II,Björn Heydemann,NA,ST,2,0
392,Köpenicker FC,Tom-Niclas Hamann,23,IV,19,0
393,TSV Rudow Berlin,Jonas Becker,3,IV,23,0
394,Türkiyemspor Berlin,Tamer Emre Ertürkler,17,ST,8,0
395,Berliner SC II,Jesse Kreuschner,31,TW,9,0
396,FC Viktoria 1889 Berlin II,Vito Everett Dieckert,9,ZDM,16,0
397,Köpenicker FC,Tim Höfer,NA,TW,1,0
