Rank,Team,Name,Nr,Pos,Spiele,Assists
183,SC Borsigwalde 1910,Kenneth Weise,49,IV,16,0
184,SV Stern Britz 1889,Fabio Zielske,NA,NA,0,0
185,SV Stern Britz 1889,Marcel Lieker,NA,NA,1,0
186,VfB Concordia Britz 1916,Robin Eschert,14,LV,4,0
187,BFC Preussen II,Dan Feldmann,NA,ST,10,0
188,BSV Eintracht Mahlsdorf II,Lukas Grützner,8,IV,19,0
189,Berliner SV 1892,Benjamin Schnack,NA,IV,13,0
190,Berliner SV 1892,Robin Wolff,25,ST,8,0
191,SV Stern Britz 1889,Dustin Sik,7,RM,13,0
192,Köpenicker FC,Kevin Wesolek,16,NA,2,0
193,SV Stern Britz 1889,Yusuf Yildirim,NA,ZDM,1,0
194,Köpenicker FC,Tom Nischwitz,5,IV,15,0
195,BSV Al-Dersimspor,Gökhan Cevik,NA,NA,1,0
196,SC Borsigwalde 1910,Jeffrey Kräft,37,TW,11,0
197,BSV Al-Dersimspor,Onurcan Üremis,NA,NA,1,0
198,SV Stern Britz 1889,Bartosz Palubski,21,NA,0,0
199,Köpenicker FC,Philip Möhle,28,RV,16,0
200,BSV Al-Dersimspor,Aziz Ökten,NA,NA,0,0
201,VfB Concordia Britz 1916,Björn Röchert,30,IV,9,0
202,BSV Al-Dersimspor,Sercan-Günay Seyyidoglu,17,LM,10,0
203,BSV Al-Dersimspor,Welton Pereira Dos Santos,94,NA,20,0
204,SV Stern Britz 1889,Kerem Erman,NA,NA,1,0
205,Berliner SV 1892,Karl Anker,8,IV,24,0
206,BFC Meteor 06,Bahadir Katirci,7,NA,6,0
207,SV Empor Berlin II,Daniel Schneidawind,13,IV,3,0
208,Berliner SC II,Noah Peter,12,ZM,13,0
209,SC Borsigwalde 1910,Antonio Ciao,22,ZDM,3,0
210,VfB Concordia Britz 1916,Yannic Behrendt,NA,IV,9,0
211,BSV Al-Dersimspor,Mustafa Arslan,1,TW,6,0
212,FC Internationale Berlin 1980,Antonio Boeddinghaus,6,LV,15,0
213,SV Stern Britz 1889,Marc Anthony Weisse,NA,ZM,1,0
214,Berliner SV 1892,Nikita Charkov,20,IV,21,0
215,SC Borsigwalde 1910,Riccardo Ciao,18,ZDM,23,0
216,SV Stern Britz 1889,Suphi Tekin,NA,RV,4,0
217,BSV Eintracht Mahlsdorf II,Ian Kroh,NA,IV,2,0
218,VfB Concordia Britz 1916,Lionel Krampah,NA,ZM,12,0
219,BFC Preussen II,Romario Hartwig,NA,ST,2,0
220,BSV Al-Dersimspor,Amir Awag,5,RV,26,0
221,SV Stern Britz 1889,Okan Özkaya,3,NA,8,0
222,SV Empor Berlin II,Maurice Meyer,1,TW,11,0
223,SV Stern Britz 1889,Mike Otto,NA,IV,1,0
224,Berliner SV 1892,Maximilian Blust,NA,ST,8,0
225,BFC Meteor 06,Jamal Dähn,NA,NA,1,0
226,Türkiyemspor Berlin,Volkan Neziroglu,NA,ST,13,0
227,Berliner SC II,Victor Kausch,NA,IV,3,0
228,Berliner SV 1892,Nicht öffentlich,NA,NA,12,0
229,BSV Al-Dersimspor,Vittorio Achour,NA,NA,2,0
230,SV Empor Berlin II,Tom Stutzke,NA,IV,2,0
231,Türkiyemspor Berlin,Jan Lange,NA,IV,4,0
232,SV Empor Berlin II,Tjerk Ortmann,4,IV,4,0
233,Berliner SV 1892,Julius Zauner,11,ST,26,0
234,BFC Preussen II,Oliver Schill,NA,IV,1,0
235,BSV Al-Dersimspor,Sam Diokhane,4,IV,22,0
236,SV Empor Berlin II,Dennis Seiler,11,IV,14,0
237,Berliner SV 1892,Göktug Özsoy,19,ZM,19,0
238,BSV Al-Dersimspor,Mohamad-Ali Chawraba,47,ST,11,0
239,SV Empor Berlin II,Nikolai Wolany,NA,NA,1,0
240,Berliner SC II,Oktay Öztürk,NA,RV,1,0
241,Türkiyemspor Berlin,Paulo Eduardo Bernardes De Almeida,22,NA,5,0
242,VfB Concordia Britz 1916,Julian Markgraf,NA,LV,11,0
243,TSV Rudow Berlin,Jan-Eric Frank,6,IV,9,0
244,SV Empor Berlin II,Arnaud Salla,NA,IV,1,0
