Rank,Team,Name,Nr,Pos,Spiele,Assists
152,BSV Hürtürkel,Dursun Tunahan Akdag,NA,NA,1,0
153,BSV Hürtürkel,Leopold Antonius Bussmann,NA,NA,1,0
154,BSV Hürtürkel,Kemal Tosun,NA,NA,0,0
155,BSV Hürtürkel,Görkem-Alp Zeren,NA,NA,0,0
156,BSV Hürtürkel,Emre Kücükodabasi,NA,NA,1,0
157,BSV Hürtürkel,Kubilay Yilmaz,NA,NA,1,0
158,BSV Hürtürkel,Muhammed Yildirgan,NA,NA,0,0
159,BSV Hürtürkel,Ali Oguzhan,NA,NA,0,0
160,BSV Hürtürkel,Onur Yüksek,NA,NA,1,0
161,BSV Hürtürkel,Ali Tanis,NA,NA,1,0
162,BSV Hürtürkel,Justice Igiebor,NA,NA,0,0
163,BSV Hürtürkel,Umut Yüksek,NA,NA,1,0
164,BSV Hürtürkel,Ömer Yavuz,NA,NA,0,0
165,BSV Hürtürkel,Ilker Samed Yigit,NA,NA,1,0
166,BSV Hürtürkel,Harun Efe Kurnaz,NA,NA,1,0
167,BSV Hürtürkel,Furkan Arslan,NA,NA,1,0
168,BSV Hürtürkel,Kadir Inal,NA,NA,0,0
169,BSV Hürtürkel,Hakan Önal,NA,NA,0,0
170,BSV Hürtürkel,Serkan Türkoglu,NA,NA,1,0
171,BSV Hürtürkel,Mustafa Bicen,NA,NA,0,0
172,BSV Hürtürkel,Ismail Ülke,NA,NA,1,0
173,BSV Hürtürkel,Abdullah Usame Karadeniz,NA,NA,0,0
174,BSV Hürtürkel,Ibrahim Inal,NA,NA,0,0
175,1. FC Schöneberg 1913,Daniel Müller,NA,ZM,0,0
176,1. FC Schöneberg 1913,Ismael Mrad,NA,NA,0,0
177,1. FC Schöneberg 1913,Atakan Gündogdu,NA,NA,0,0
178,1. FC Schöneberg 1913,Nico Scholz,NA,NA,0,0
179,1. FC Schöneberg 1913,Radovan-Damjan Stojanovic,NA,NA,1,0
180,1. FC Schöneberg 1913,Tobias Weckeck,NA,NA,0,0
181,1. FC Schöneberg 1913,Cihan Ilter,NA,NA,0,0
