Rank,Team,Name,Nr,Pos,Spiele,Scorerpoints
160,SC Berliner Amateure,Joscha Schulte-Holtey,NA,NA,1,0
161,SC Berliner Amateure,Lars Werner,NA,ZOM,2,0
162,SC Berliner Amateure,Soulemane Imorou,NA,NA,2,0
163,SC Berliner Amateure,Caspar Ropers,NA,NA,1,0
164,SC Berliner Amateure,Abdallah Soliman,NA,NA,2,0
165,SC Berliner Amateure,Emil Orywal,NA,NA,1,0
166,SC Berliner Amateure,Guillermo Sancho Incirci,NA,NA,1,0
167,SC Berliner Amateure,Ismaila Njie,NA,NA,1,0
168,SC Berliner Amateure,Lucian Ewald,NA,NA,2,0
169,SC Berliner Amateure,Malte Räuchle,NA,NA,1,0
170,SC Berliner Amateure,Moritz Willkomm,NA,NA,1,0
171,SC Berliner Amateure,Carlos Frei,NA,NA,1,0
172,Friedenauer TSC,Kevin Woithe,NA,NA,2,0
173,Friedenauer TSC,Maximilian Reinhard Schubart,NA,NA,1,0
174,Friedenauer TSC,Lionel Vowinckel,NA,NA,1,0
175,Friedenauer TSC,Theo Prümke,NA,NA,2,0
176,Friedenauer TSC,Carl Prümke,NA,NA,1,0
177,Friedenauer TSC,Niklas Rother,NA,NA,1,0
178,Friedenauer TSC,Joshua Ridzewski,NA,NA,1,0
179,Friedenauer TSC,Eray Krüger,NA,NA,1,0
180,Friedenauer TSC,Dominik Vukoja,NA,NA,2,0
181,Friedenauer TSC,Teoman Saatci,NA,NA,1,0
182,Friedenauer TSC,Paul Kleinfeldt,NA,NA,2,0
183,Friedenauer TSC,Iven Stritzke,NA,NA,2,0
184,Friedenauer TSC,Joshua Fuchs,NA,NA,1,0
185,Friedenauer TSC,Marten Niemeyer,NA,NA,2,0
186,Friedenauer TSC,Louis Anthony Guske,NA,NA,2,0
187,Friedenauer TSC,Kenney Kojo Sey,NA,NA,2,0
188,Pfeffersport,Julian Marcell,NA,ZM,2,0
189,Pfeffersport,Friedrich Würzner,NA,NA,1,0
190,Pfeffersport,Carl Zimmering,NA,RV,1,0
191,Pfeffersport,Mohamed Boudlal,NA,LV,2,0
192,Pfeffersport,Noah Roitzsch,NA,NA,1,0
193,Pfeffersport,Marius Schreiber,NA,NA,2,0
194,Pfeffersport,Manuel Goudjo Aguigah,NA,LM,1,0
195,Pfeffersport,Emmanuel Sokowonci Daniel,NA,NA,1,0
196,Pfeffersport,Jannik Kuß,NA,NA,1,0
197,Pfeffersport,Bonke Andresen,NA,NA,1,0
198,Pfeffersport,Benedict Klenk,NA,ZM,2,0
199,Pfeffersport,Oskar Schmiedel,NA,NA,2,0
200,Pfeffersport,Philipp Pilz,NA,IV,2,0
201,Pfeffersport,Heinrich Sander,NA,IV,2,0
202,Pfeffersport,Jannik Kremer,NA,RM,1,0
203,Pfeffersport,Elias Aguigah,NA,LM,1,0
204,Pfeffersport,Zorc Kolfenbach,NA,TW,1,0
205,SV BW Berolina Mitte 49,Moritz Müller,NA,LM,2,0
206,SV BW Berolina Mitte 49,Floris Lucas Georgi,NA,IV,2,0
207,SV BW Berolina Mitte 49,Leandro Ngomane,NA,NA,1,0
208,SV BW Berolina Mitte 49,Fabio Benabid,NA,IV,1,0
209,SV BW Berolina Mitte 49,Yann Metzmacher,NA,ZDM,2,0
210,SV BW Berolina Mitte 49,Rio Wermer,NA,NA,1,0
211,SV BW Berolina Mitte 49,Valentin Wiegand,NA,ZDM,1,0
212,SV BW Berolina Mitte 49,Minh Dang Ngo,NA,NA,1,0
213,SV BW Berolina Mitte 49,Stephan Arbelaez Rodriguez,NA,NA,1,0
